date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:57:02	651911/651911	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202026%2018:57:02%20GMT	https://www.apple.com/iphone/	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/iphone/index.html	(from )
21:57:02	171397/171397	---M-Z	200	added ('OK')	text/css	etag:W/%2229d85-19c016a64f9%22	https://www.apple.com/api-www/global-elements/global-header/v1/assets/globalheader.css	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/api-www/global-elements/global-header/v1/assets/globalheader.css	(from https://www.apple.com/iphone/)
21:57:03	54959/54959	---M-Z	200	added ('OK')	text/css	date:Mon,%2002%20Feb%202026%2018:57:04%20GMT	https://www.apple.com/ac/globalfooter/8/en_US/styles/ac-globalfooter.built.css	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/ac/globalfooter/8/en_US/styles/ac-globalfooter.built.css	(from https://www.apple.com/iphone/)
21:57:04	416715/416715	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202026%2018:57:03%20GMT	https://www.apple.com/am/iphone/	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/am/iphone/index.html	(from https://www.apple.com/iphone/)
21:57:04	406462/406462	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202026%2018:57:03%20GMT	https://www.apple.com/az/iphone/	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/az/iphone/index.html	(from https://www.apple.com/iphone/)
21:57:04	586585/586585	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202026%2018:57:03%20GMT	https://www.apple.com/ae-ar/iphone/	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/ae-ar/iphone/index.html	(from https://www.apple.com/iphone/)
21:57:04	451117/451117	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202026%2018:57:05%20GMT	https://www.apple.com/bh-ar/iphone/	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/bh-ar/iphone/index.html	(from https://www.apple.com/iphone/)
21:57:05	82918/82918	---M-Z	200	added ('OK')	text/css	date:Mon,%2002%20Feb%202026%2018:57:06%20GMT	https://www.apple.com/ac/localnav/9/styles/ac-localnav.built.css	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/ac/localnav/9/styles/ac-localnav.built.css	(from https://www.apple.com/iphone/)
21:57:06	242887/242887	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202026%2018:57:06%20GMT	https://www.apple.com/bw/iphone/	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/bw/iphone/index.html	(from https://www.apple.com/iphone/)
21:57:06	237970/237970	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202026%2018:57:06%20GMT	https://www.apple.com/cf/iphone/	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/cf/iphone/index.html	(from https://www.apple.com/iphone/)
21:57:06	421438/421438	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202026%2018:57:06%20GMT	https://www.apple.com/bh/iphone/	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/bh/iphone/index.html	(from https://www.apple.com/iphone/)
21:57:06	237944/237944	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202026%2018:57:07%20GMT	https://www.apple.com/ci/iphone/	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/ci/iphone/index.html	(from https://www.apple.com/iphone/)
21:57:07	12/12	---M-Z	200	added ('OK')	application/json	etag:%2213a329ab89423be9abfaed351355740c%22	https://www.apple.com/us/shop/mcm/product-price	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/us/shop/mcm/product-price.json	(from https://www.apple.com/iphone/)
21:57:08	12/12	---M-Z	200	added ('OK')	application/json	etag:%2213a329ab89423be9abfaed351355740c%22	https://www.apple.com/us-edu/shop/mcm/product-price	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/us-edu/shop/mcm/product-price.json	(from https://www.apple.com/iphone/)
21:57:09	298547/298547	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202026%2018:57:10%20GMT	https://www.apple.com/co/iphone/	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/co/iphone/index.html	(from https://www.apple.com/iphone/)
21:57:09	237916/237916	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202026%2018:57:10%20GMT	https://www.apple.com/cm/iphone/	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/cm/iphone/index.html	(from https://www.apple.com/iphone/)
21:57:09	471191/471191	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202026%2018:57:10%20GMT	https://www.apple.com/ee/iphone/	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/ee/iphone/index.html	(from https://www.apple.com/iphone/)
21:57:10	450421/450421	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202026%2018:57:10%20GMT	https://www.apple.com/eg-ar/iphone/	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/eg-ar/iphone/index.html	(from https://www.apple.com/iphone/)
21:57:10	10/10	---M-Z	200	added ('OK')	application/json	etag:%225ed883b9ae6d9df5a21ec1ccef91a191%22	https://www.apple.com/us/shop/mcm/tradein-credit	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/us/shop/mcm/tradein-credit.json	(from https://www.apple.com/iphone/)
